"Date","Open","High","Low","Close","Volume"
"2024-08-14",190.0800018310547,193.35000610351562,187.6999969482422,193.,12439364
"2024-08-09",187.4499969482422,191.00999450683594,183.0399932861328,189.92999267578125,26035155
"2024-08-02",184.0399932861328,193.91000366210938,180.52999877929688,189.2899932861328,30864027
"2024-07-26",173.32000732421875,186.85000610351562,171.802001953125,185.16000366210938,29509444
"2024-07-19",168.91000366210938,176.67999267578125,167.41000366210938,172.32000732421875,20842504
"2024-07-12",166.5399932861328,171.625,164.86000061035156,170.27999877929688,19435869
"2024-07-05",171.27000427246094,173.8800048828125,163.52000427246094,167.25,16979371
"2024-06-28",171.1300048828125,173.41000366210938,167.75,171.52000427246094,47384281
"2024-06-21",168.39999389648438,173.00999450683594,167.36000061035156,170.38999938964844,26482347
"2024-06-14",169.,170.75,165.,168.58999633789062,20831889
"2024-06-07",160.,170.27000427246094,158.8300018310547,169.4199981689453,20066887
"2024-05-31",156.35000610351562,161.63999938964844,153.5800018310547,161.24000549316406,29763920
"2024-05-24",166.00999450683594,166.4199981689453,156.38999938964844,157.05999755859375,20302377
"2024-05-17",161.27999877929688,166.49000549316406,159.72999572753906,166.4199981689453,19773870
"2024-05-10",164.41000366210938,164.63499450683594,159.8699951171875,160.75,24122606
"2024-05-03",159.58999633789062,164.25,158.1199951171875,163.7899932861328,24323596
"2024-04-26",167.75,170.36500549316406,157.64999389648438,159.6199951171875,25828973
"2024-04-19",164.27000427246094,167.44000244140625,161.5,166.41000366210938,21680469
"2024-04-12",169.2100067138672,171.97000122070312,160.,162.27999877929688,24247156
"2024-04-05",181.8800048828125,181.89999389648438,167.2899932861328,170.,31488161
"2024-03-28",179.,182.3000030517578,178.125,182.10000610351562,19251124
"2024-03-22",179.00999450683594,179.92999267578125,175.72999572753906,178.4499969482422,29672119
"2024-03-15",178.41000366210938,182.88999938964844,177.5399932861328,177.8800048828125,44471212
"2024-03-08",178.35000610351562,182.4199981689453,176.27999877929688,178.85000610351562,24299663
"2024-03-01",178.63999938964844,179.75,175.38999938964844,178.91000366210938,8296023
"2024-02-23",176.22999572753906,178.88999938964844,173.13999938964844,178.08999633789062,5427613
"2024-02-16",173.5399932861328,178.9199981689453,171.97000122070312,177.49000549316406,14448743
"2024-02-09",169.83999633789062,175.8800048828125,168.4499969482422,174.0800018310547,12286886
"2024-02-02",165.85000610351562,172.85000610351562,162.6699981689453,168.6699981689453,26972892
"2024-01-26",164.44000244140625,167.77000427246094,163.2100067138672,164.39999389648438,7192575
"2024-01-19",161.97999572753906,164.8699951171875,161.,164.77000427246094,16755836
"2024-01-12",162.17999267578125,165.1199951171875,159.7899932861328,162.39999389648438,22256606
"2024-01-05",154.89999389648438,163.02999877929688,154.77000427246094,162.13999938964844,22786047
"2023-12-29",154.25,155.6199951171875,153.85499572753906,154.97000122070312,6345907
"2023-12-22",153.,155.4199981689453,151.2899932861328,154.94000244140625,11775037
"2023-12-15",150.6699981689453,155.85000610351562,150.17999267578125,154.0399932861328,25336360
"2023-12-08",143.41000366210938,150.07000732421875,142.66000366210938,149.27999877929688,20824967
"2023-12-01",138.6999969482422,144.0800018310547,137.6999969482422,143.41000366210938,13322092
"2023-11-24",137.13999938964844,140.0800018310547,137.13999938964844,138.6699981689453,5203587
"2023-11-17",138.58999633789062,140.10000610351562,136.3000030517578,138.3000030517578,20514260
"2023-11-10",141.88999938964844,143.8000030517578,135.85000610351562,138.58999633789062,26824559
"2023-11-03",140.6699981689453,145.7100067138672,139.67999267578125,141.4199981689453,29641112
"2023-10-27",146.16000366210938,146.97000122070312,136.02999877929688,138.92999267578125,27724511
