"Date","Open","High","Low","Close","Volume"
"2023-03-31",127.9800033569336,132.27000427246094,127.125,132.0800018310547,7484068
"2023-04-28",132.0800018310547,140.92999267578125,130.64999389648438,140.5800018310547,26652459
"2023-05-31",140.5800018310547,143.2449951171875,126.90499877929688,128.69000244140625,40972895
"2023-06-30",128.3800048828125,140.5399932861328,127.98999786376953,138.5500030517578,41794717
"2023-07-31",137.52999877929688,139.38999938964844,132.05999755859375,137.6699981689453,27379540
"2023-08-31",137.92999267578125,139.16000366210938,128.27999877929688,129.3800048828125,33660341
"2023-09-29",129.9250030517578,132.34500122070312,121.13999938964844,124.94000244140625,29981426
"2023-10-31",124.52999877929688,125.375,115.5250015258789,120.86000061035156,36548653
"2023-11-30",121.87999725341797,129.35499572753906,119.5250015258789,125.55000305175781,29196842
"2023-12-29",125.58999633789062,131.97000122070312,123.69999694824219,130.66000366210938,32352171
"2024-01-31",129.72999572753906,132.63499450683594,127,129.49000549316406,32386816
"2024-02-29",129.30999755859375,139.64999389648438,125.73999786376953,138.4199981689453,44334427
"2024-03-28",137.4600067138672,141.63999938964844,134.42999267578125,138.64999389648438,34155046
"2024-04-30",138.5500030517578,143.1999969482422,134.5,141.25,17494251
"2024-05-31",137.5500030517578,141.91000366210938,133.92999267578125,137.42999267578125,13049504
"2024-06-28",137.13999938964844,142.22000122070312,131.32000732421875,132.4600067138672,16478662
"2024-07-31",132.55999755859375,134,124.97000122070312,132.8300018310547,12468163
"2024-08-30",133.4600067138672,139.5500030517578,131.69000244140625,134.9199981689453,13192001
"2024-09-30",134.60000610351562,141.47999572753906,128.72999572753906,139.7100067138672,15232065
"2024-10-31",139.7899932861328,140.08999633789062,131.02000427246094,131.16000366210938,12413523
"2024-11-29",132.1999969482422,139.97999572753906,131.1699981689453,138.94000244140625,16452934
"2024-12-31",137.92999267578125,139.47000122070312,130.22000122070312,134.16000366210938,15723694
"2025-01-24",134.4199981689453,135.9199981689453,122.16000366210938,128.25999450683594,13100158
